Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0351,Externally defined,Occurrence Span,"Externally defined table of codes specifying a National Uniform Billing Committee (NUBC) code that identifies an event that relates to the payment of a claim.  In the US, NUBC codes generally used, see code system 2.16.840.1.113883.6.301.8; more information may be found at  http://www.nubc.org/become.html.  The UB-04 Data Specifications Manual with the codes is available by subscription from NUBC at http://www.nubc.org/become.html.",OccurrenceSpan,fm,Representative (2),OSP.1,,UTG Missing CodeSystem,2.16.840.1.113883.12.351,2.16.840.1.113883.6.301.8,http://terminology.hl7.org/CodeSystem/v2-0351,2.16.840.1.113883.21.228,http://terminology.hl7.org/ValueSet/v2-0351,10,2.3.1,2.9,1
0353,HL7,CWE statuses,"HL7-defined table of codes that represent an exception identifier code; that is, a code that is not defined in the value set (either model or site-extended).  These are occationsally referred to a 'flavors of null' although this set of concepts is specific to the CWE datatype used in Version 2 messaging, and the codes may be used in the 'identifier' component of the 'triplets' in that datatype.",CweStatuses,vocab,Universal (3),CWE.1,,,2.16.840.1.113883.12.353,2.16.840.1.113883.18.213,http://terminology.hl7.org/CodeSystem/v2-0353,2.16.840.1.113883.21.229,http://terminology.hl7.org/ValueSet/v2-0353,10,2.3.1,2.9,1
0354,HL7,Message Structure,HL7-defined table of abstract message structure codes. Each code identifies a specific message structure abstract syntax as published in the HL7 Version 2 standard.,MessageStructure,inm,Universal (3),MSH-9.3,,,2.16.840.1.113883.12.354,2.16.840.1.113883.18.214,http://terminology.hl7.org/CodeSystem/v2-0354,2.16.840.1.113883.21.230,http://terminology.hl7.org/ValueSet/v2-0354,10,2.3.1,2.9,1
0355,HL7,Primary Key Value Type,HL7-defined table of codes used to specify the type for the master file record identifier.,PrimaryKeyValueType,inm,Universal (3),MFE-5,,,2.16.840.1.113883.12.355,2.16.840.1.113883.18.215,http://terminology.hl7.org/CodeSystem/v2-0355,2.16.840.1.113883.21.231,http://terminology.hl7.org/ValueSet/v2-0355,10,2.3.1,2.9,1
0356,HL7,Alternate Character Set Handling Scheme,"HL7-defined table of codes that specify the scheme used when any alternative character sets are specified in the second or later iterations of MSH-18 Character Set, and if any special handling scheme is needed.",AlternateCharacterSetHandlingScheme,inm,Universal (3),MSH-20,,,2.16.840.1.113883.12.356,2.16.840.1.113883.18.216,http://terminology.hl7.org/CodeSystem/v2-0356,2.16.840.1.113883.21.232,http://terminology.hl7.org/ValueSet/v2-0356,10,2.3.1,2.9,1
0357,HL7,Message Error Condition Codes,HL7-defined table of codes specifying the HL7 (communications) error code.,MessageErrorConditionCodes,inm,Universal (3),ERR-3,,,2.16.840.1.113883.12.357,2.16.840.1.113883.18.217,http://terminology.hl7.org/CodeSystem/v2-0357,2.16.840.1.113883.21.233,http://terminology.hl7.org/ValueSet/v2-0357,10,2.3.1,2.9,1
0358,User,Practitioner Group,Table of codes specifying the name and/or code of a group of practitioners to which this practitioner belongs.  No suggested values.,PractitionerGroup,fm,N/A (0),DG1-15,,,2.16.840.1.113883.12.358,,,,,10,2.3.1,2.9,
0359,User,Diagnosis Priority,"Table of codes that identify the significance or priority of the diagnosis code.  Note that the codes are numeric, and the number of the code represents the ordinal priority of the associated diagnosis. The predefined codes are the most common, and just a starter set, as the codes are an unbounded list; additional ranked procedures may be signified by incrementing the code value as needed.",DiagnosisPriority,,N/A (0),,,,2.16.840.1.113883.12.359,2.16.840.1.113883.18.218,http://terminology.hl7.org/CodeSystem/v2-0359,2.16.840.1.113883.21.234,http://terminology.hl7.org/ValueSet/v2-0359,10,2.3.1,2.9,1
0360,User,Degree/License/Certificate,"Table of codes specifying an educational degree (e.g., MD).  Used in the CNN datatype (names and identifiers of clinicians) in Version 2 messaging.",Degree/License/Certificate,oo,Representative (2),CNN.7,,,2.16.840.1.113883.12.360,2.16.840.1.113883.18.220,http://terminology.hl7.org/CodeSystem/v2-0360,2.16.840.1.113883.21.236,http://terminology.hl7.org/ValueSet/v2-0360,10,2.3.1,2.9,1
0361,User,Application,Table of codes that identify a sending application among all other applications within the network enterprise.  The network enterprise consists of all those applications that participate in the exchange of HL7 messages within the enterprise.  No suggested values.,Application,inm,N/A (0),"MSH-3, MSH-5",,,2.16.840.1.113883.12.361,,,,,10,2.3.1,2.9,
0362,User,Facility,Table of codes specifying the site-specific name for the facility used by this application.  No suggested values.,Facility,inm,N/A (0),"MSH-4, MSH-6",,,2.16.840.1.113883.12.362,,,,,10,2.3.1,2.9,
0363,User,Assigning Authority,Table of codes specifying a unique name of the system (or organization or agency or department) that creates the data.  No suggested values.,AssigningAuthority,inm,N/A (0),"CX.4, EI.2, PL.11, PPN.9, XCN.9, XON.6",,,2.16.840.1.113883.12.363,,,,,10,2.3.1,2.9,
0364,User,Comment Type,Table of codes that identify the type of comment text being sent in the specific comment record.,CommentType,inm,Representative (2),NTE-4,,,2.16.840.1.113883.12.364,2.16.840.1.113883.18.222,http://terminology.hl7.org/CodeSystem/v2-0364,2.16.840.1.113883.21.238,http://terminology.hl7.org/ValueSet/v2-0364,10,2.3.1,2.9,1
0365,HL7,Equipment State,HL7-defined table of codes that identify the status the equipment was in at the time the transaction was initiated.,EquipmentState,oo,Universal (3),EQU-3,,,2.16.840.1.113883.12.365,2.16.840.1.113883.18.223,http://terminology.hl7.org/CodeSystem/v2-0365,2.16.840.1.113883.21.239,http://terminology.hl7.org/ValueSet/v2-0365,10,2.4,2.9,1
0366,HL7,Local/Remote Control State,"HL7-defined table of codes that identify the current state of control associated with the equipment.   Equipment can either work autonomously ('Local' control state) or it can be controlled by another system, e.g., LAS computer ('Remote' control state).",Local_RemoteControlState,oo,Universal (3),EQU-4,,,2.16.840.1.113883.12.366,2.16.840.1.113883.18.224,http://terminology.hl7.org/CodeSystem/v2-0366,2.16.840.1.113883.21.240,http://terminology.hl7.org/ValueSet/v2-0366,10,2.4,2.9,1
0367,HL7,Alert Level,"HL7-defined table of codes that identify the highest level of the alert state (e.g.,highest alert severity) that is associated with the indicated equipment (e.g. processing event, inventory event, QC event).",AlertLevel,oo,Universal (3),"EQU-5, NDS-3",,,2.16.840.1.113883.12.367,2.16.840.1.113883.18.225,http://terminology.hl7.org/CodeSystem/v2-0367,2.16.840.1.113883.21.241,http://terminology.hl7.org/ValueSet/v2-0367,10,2.4,2.9,1
0368,User,Remote Control Command,Table of codes that identify the comment the component is to initiate.,RemoteControlCommand,oo,Representative (2),"ECD-2, ISD-2",,,2.16.840.1.113883.12.368,2.16.840.1.113883.18.226,http://terminology.hl7.org/CodeSystem/v2-0368,2.16.840.1.113883.21.242,http://terminology.hl7.org/ValueSet/v2-0368,10,2.4,2.9,1
0369,User,Specimen Role,Table of codes that identify the role of a sample.,SpecimenRole,oo,Representative (2),"SPM-11, OBR-15",,,2.16.840.1.113883.12.369,2.16.840.1.113883.18.227,http://terminology.hl7.org/CodeSystem/v2-0369,2.16.840.1.113883.21.243,http://terminology.hl7.org/ValueSet/v2-0369,10,2.4,2.9,1
0370,HL7,Container Status,HL7-defined table of codes that identify the status of the unique container in which the specimen resides at the time the transaction was initiated.,ContainerStatus,oo,Universal (3),SAC-8,,,2.16.840.1.113883.12.370,2.16.840.1.113883.18.228,http://terminology.hl7.org/CodeSystem/v2-0370,2.16.840.1.113883.21.244,http://terminology.hl7.org/ValueSet/v2-0370,10,2.4,2.9,1
0371,HL7,Additive/Preservative,"HL7-defined table of codes specifying any additive introduced to the specimen before or at the time of collection.  These additives may be introduced in order to preserve, maintain or enhance the particular nature or component of the specimen.",Additive/Preservative,oo,Universal (3),"SPM-6, SAC-27",,,2.16.840.1.113883.12.371,2.16.840.1.113883.18.229,http://terminology.hl7.org/CodeSystem/v2-0371,2.16.840.1.113883.21.245,http://terminology.hl7.org/ValueSet/v2-0371,10,2.4,2.9,1
0372,User,Specimen Component,"Table of codes that identify the specimen component, e.g., supernatant, sediment, etc.",SpecimenComponent,oo,Representative (2),SAC-28,,,2.16.840.1.113883.12.372,2.16.840.1.113883.18.230,http://terminology.hl7.org/CodeSystem/v2-0372,2.16.840.1.113883.21.246,http://terminology.hl7.org/ValueSet/v2-0372,10,2.4,2.9,1
0373,User,Treatment,Table of codes that identify the specimen treatment performed during lab processing.,Treatment,oo,Representative (2),SAC-30,,,2.16.840.1.113883.12.373,2.16.840.1.113883.18.231,http://terminology.hl7.org/CodeSystem/v2-0373,2.16.840.1.113883.21.247,http://terminology.hl7.org/ValueSet/v2-0373,10,2.4,2.9,1
0374,User,System Induced Contaminants,Table of codes that identify the specimen contaminant identifier associated with the specimen in the container.,SystemInducedContaminants,oo,Example (1),SAC-40,,,2.16.840.1.113883.12.374,2.16.840.1.113883.18.232,http://terminology.hl7.org/CodeSystem/v2-0374,2.16.840.1.113883.21.248,http://terminology.hl7.org/ValueSet/v2-0374,10,2.4,2.9,1
0375,User,Artificial Blood,Table of codes that identify the artificial blood identifier associated with the specimen.,ArtificialBlood,oo,Example (1),SAC-42,,,2.16.840.1.113883.12.375,2.16.840.1.113883.18.233,http://terminology.hl7.org/CodeSystem/v2-0375,2.16.840.1.113883.21.249,http://terminology.hl7.org/ValueSet/v2-0375,10,2.4,2.9,1
0376,User,Special Handling Code,Table of codes describing how a specimen and/or container needs to be handled from the time of collection through the initiation of testing.,SpecialHandlingCode,oo,Representative (2),"SPM-15, SAC-43,  PAC-7, OM4-15",,,2.16.840.1.113883.12.376,2.16.840.1.113883.18.234,http://terminology.hl7.org/CodeSystem/v2-0376,2.16.840.1.113883.21.250,http://terminology.hl7.org/ValueSet/v2-0376,10,2.4,2.9,1
0377,User,Other Environmental Factors,"Table of codes that identify the other environmental factors associated with the specimen in a specific container, e.g., atmospheric exposure.",OtherEnvironmentalFactors,oo,Example (1),SAC-44,,,2.16.840.1.113883.12.377,2.16.840.1.113883.18.235,http://terminology.hl7.org/CodeSystem/v2-0377,2.16.840.1.113883.21.251,http://terminology.hl7.org/ValueSet/v2-0377,10,2.4,2.9,1
0378,User,Carrier Type,"Table of codes that identify a type of carrier.  Because the geometry can be different, the carrier type should, if possible, express the number of positions in the carrier.  The definition assumes hierarchical nesting using the following phrases: container is located in a carrier, carrier is located in a tray.  No suggested values.",CarrierType,oo,N/A (0),SAC-9,,,2.16.840.1.113883.12.378,,,,,10,2.4,2.9,
0379,User,Tray Type,"Table of codes that identify a type of tray.  Because the geometry can be different, the tray type should, if possible, express the number of positions in the tray.  The definition assumes hierarchical nesting using the following phrases: container is located in a carrier, carrier is located in a tray.  No suggested values.",ContainerTrayType,oo,N/A (0),SAC-12,,,2.16.840.1.113883.12.379,,,,,10,2.4,2.9,
0380,User,Separator Type,"Table of codes that identify a type of separator being used (e.g., a gel separator in a container - not to be confused with the communication separators).  It is recommended the first table entry be ""NO"" meaning ""No Separator"".  No suggested values.",SeparatorType,oo,N/A (0),SAC-25,,,2.16.840.1.113883.12.380,,,,,10,2.4,2.9,
0381,User,Cap Type,"Table of codes that identify a type of cap that is to be used with a container for decapping, piercing or other mechanisms.  No suggested values.",CapType,oo,N/A (0),SAC-26,,,2.16.840.1.113883.12.381,,,,,10,2.4,2.9,
0382,User,Drug Interference,Table of codes that identify a drug interference  associated with a specimen.  No suggested values.,DrugInterference,oo,N/A (0),SAC-41,,,2.16.840.1.113883.12.382,,,,,10,2.4,2.9,
0383,HL7,Substance Status,HL7-defined table of codes identifying the status of the inventoried item.  The status indicates the current status of the substance.,SubstanceStatus,oo,Universal (3),INV-2,,,2.16.840.1.113883.12.383,2.16.840.1.113883.18.236,http://terminology.hl7.org/CodeSystem/v2-0383,2.16.840.1.113883.21.252,http://terminology.hl7.org/ValueSet/v2-0383,10,2.4,2.9,1
0384,HL7,Substance Type,HL7-defined table of codes identifying the type of substance.,SubstanceType,,Universal (3),INV-3,,,2.16.840.1.113883.12.384,2.16.840.1.113883.18.237,http://terminology.hl7.org/CodeSystem/v2-0384,2.16.840.1.113883.21.253,http://terminology.hl7.org/ValueSet/v2-0384,10,2.4,2.9,1
0385,User,Manufacturer Identifier,"Table of codes that identify a manufacturer of a substance.  Relevant external code systems may be used, e.g., HIBCC Manufacturers Labeler ID Code (LIC), UPC, NDC, etc.  No suggested values.",ManufacturerIdentifier,oo,N/A (0),"INV-17, RQ1-2, SID-4",,,2.16.840.1.113883.12.385,,,,,10,2.4,2.9,
0386,User,Supplier Identifier,Table of codes that identify a supplier of a substance.  No suggested values.,SupplierIdentifier,oo,N/A (0),INV-18,,,2.16.840.1.113883.12.386,,,,,10,2.4,2.9,
0387,User,Command Response,Table of codes identifying the response of the previously issued command.,CommandResponse,oo,Representative (2),"ECR-1, ISD-3",,,2.16.840.1.113883.12.387,2.16.840.1.113883.18.238,http://terminology.hl7.org/CodeSystem/v2-0387,2.16.840.1.113883.21.254,http://terminology.hl7.org/ValueSet/v2-0387,10,2.4,2.9,1
0388,HL7,Processing Type,"HL7-defined table of codes identifying the processing type that applies to the test code.  If this attribute is omitted, then regular production is the default.",ProcessingType,oo,Universal (3),TCC-14,,,2.16.840.1.113883.12.388,2.16.840.1.113883.18.239,http://terminology.hl7.org/CodeSystem/v2-0388,2.16.840.1.113883.21.255,http://terminology.hl7.org/ValueSet/v2-0388,10,2.4,2.9,1
0389,HL7,Analyte Repeat Status,"HL7-defined table of codes identifying the repeat status for the analyte/result (e.g. original, rerun, repeat, reflex).  The following are assumptions regarding the table values: Repeated without dilution — performed usually to confirm correctness of results (e.g., in case of results flagged as ""Panic"" or mechanical failures).  Repeated with dilution — performed usually in the case the original result exceeded the measurement range (technical limits).  Reflex test — this test is performed as the consequence of rules triggered based on other test result(s).",AnalyteRepeatStatus,oo,Universal (3),TCD-8,,,2.16.840.1.113883.12.389,2.16.840.1.113883.18.240,http://terminology.hl7.org/CodeSystem/v2-0389,2.16.840.1.113883.21.256,http://terminology.hl7.org/ValueSet/v2-0389,10,2.4,2.9,1
0391,HL7,Segment Group,HL7-defined table of codes specifying the optional segment groups which are to be included in a response.,SegmentGroup,inm,Universal (3),RCP.7,,,2.16.840.1.113883.12.391,2.16.840.1.113883.18.242,http://terminology.hl7.org/CodeSystem/v2-0391,2.16.840.1.113883.21.258,http://terminology.hl7.org/ValueSet/v2-0391,10,2.4,2.9,1
0392,User,Match Reason,"Table of codes identifying what search components (e.g., name, birthdate, social security number) of the record returned matched the original query where the responding system does not assign numeric match weights or confidence levels.  It provides a method for passing a descriptive indication of the reason a particular record was found.",MatchReason,inm,Example (1),QRI.2,,,2.16.840.1.113883.12.392,2.16.840.1.113883.18.243,http://terminology.hl7.org/CodeSystem/v2-0392,2.16.840.1.113883.21.259,http://terminology.hl7.org/ValueSet/v2-0392,10,2.4,2.9,1
0393,User,Match Algorithms,Table of codes identifying the name or identity of the specific search algorithm to which the RCP-5 Search Confidence Threshold and the QRI-1 Candidate Confidence refer.,MatchAlgorithms,inm,Example (1),QRI.3,,,2.16.840.1.113883.12.393,2.16.840.1.113883.18.244,http://terminology.hl7.org/CodeSystem/v2-0393,2.16.840.1.113883.21.260,http://terminology.hl7.org/ValueSet/v2-0393,10,2.4,2.9,1
0394,HL7,Response Modality,HL7-defined table of codes identifying the timing and grouping of the response message(s).,V2ResponseModality,inm,Universal (3),RCP.3,,,2.16.840.1.113883.12.394,2.16.840.1.113883.18.245,http://terminology.hl7.org/CodeSystem/v2-0394,2.16.840.1.113883.21.261,http://terminology.hl7.org/ValueSet/v2-0394,10,2.4,2.9,1
0395,HL7,Modify Indicator,HL7-defined table of codes identifying whether the subscription is new or is being modified.,V2ModifyIndicator,inm,Universal (3),RCP.5,,,2.16.840.1.113883.12.395,2.16.840.1.113883.18.246,http://terminology.hl7.org/CodeSystem/v2-0395,2.16.840.1.113883.21.262,http://terminology.hl7.org/ValueSet/v2-0395,10,2.4,2.9,1
0396,HL7-EXT,Coding System,"HL7-defined table of specifying the coding system.  This table is maintained outside of the published Version 2 standards; the content is not listed here; the content is maintained outside of the Version 2 Product Family maintenance process.  For the list of codes in the table, see the HL7 Webpage rendering, at http://www.hl7.org/Special/committees/vocab/table_0396/index.cfm.",CodingSystem,vocab,Universal (3),"CWE.3, CWE.6, CWE, and numerous places",,,2.16.840.1.113883.12.396,2.16.840.1.113883.18.247,http://terminology.hl7.org/CodeSystem/v2-0396,2.16.840.1.113883.21.263,http://terminology.hl7.org/ValueSet/v2-0396,10,2.4,2.9,1
0397,HL7,Sequencing,"HL7-defined table of codes identifying how the field or parameter will be sorted and, if sorted, whether the sort will be case sensitive (the default) or not.",V2Sequencing,inm,Universal (3),SRT.2,,,2.16.840.1.113883.12.397,2.16.840.1.113883.18.248,http://terminology.hl7.org/CodeSystem/v2-0397,2.16.840.1.113883.21.264,http://terminology.hl7.org/ValueSet/v2-0397,10,2.4,2.9,1
0398,HL7,Continuation Style Code,HL7-defined table of codes identifying whether it is a fragmented message or part of an interactive continuation message.,ContinuationStyleCode,inm,Universal (3),"CH02, DSC.2",,,2.16.840.1.113883.12.398,2.16.840.1.113883.18.249,http://terminology.hl7.org/CodeSystem/v2-0398,2.16.840.1.113883.21.265,http://terminology.hl7.org/ValueSet/v2-0398,10,2.4,2.9,1
0399,Externally defined,Country Code,"Table of codes that identifies a country of origin for a message.  It will be used primarily to specify default elements, such as currency denominations. The values to be used are those of ISO 3166. The ISO 3166 table has three separate forms of the country code: HL7 specifies that the 3-character (alphabetic) form be used for the country code.",CountryCode,inm,Representative (2),"MSH-17, CX.9, PPN.23,VID.2, XAD.6, XCN.22",,urn:iso:std:iso:3166,2.16.840.1.113883.12.399,1.0.3166.1,urn:iso:std:iso:3166,2.16.840.1.113883.21.266,http://terminology.hl7.org/ValueSet/v2-notAllCodes-0399,10,2.4,2.9,4
0401,User,Government Reimbursement Program,Table of codes which specify codes that indicate an agency that the practitioner is authorized to bill for medical services.  Existing codes only for use in the United States.,GovernmentReimbursementProgram,pa,Example (1),PRA-11,,,2.16.840.1.113883.12.401,2.16.840.1.113883.18.250,http://terminology.hl7.org/CodeSystem/v2-0401,2.16.840.1.113883.21.267,http://terminology.hl7.org/ValueSet/v2-0401,10,2.4,2.9,1
0402,User,School Type,Table of codes which specify a categorization of an academic institution that grants a degree to a Staff Member.,SchoolType,pa,Example (1),EDU-7,,,2.16.840.1.113883.12.402,2.16.840.1.113883.18.251,http://terminology.hl7.org/CodeSystem/v2-0402,2.16.840.1.113883.21.268,http://terminology.hl7.org/ValueSet/v2-0402,10,2.4,2.9,1
0403,User,Language Ability,Table of codes which specify codes that indicate the ability that a Staff Member possesses with respect to the language.,LanguageAbility,pa,Representative (2),LAN-3,,,2.16.840.1.113883.12.403,2.16.840.1.113883.18.252,http://terminology.hl7.org/CodeSystem/v2-0403,2.16.840.1.113883.21.269,http://terminology.hl7.org/ValueSet/v2-0403,10,2.4,2.9,1
0404,User,Language Proficiency,HL7-defined table of codes which specify the level of knowledge a person possesses with respect to a language ability identified.,LanguageProficiency,pa,Representative (2),LAN-4,,,2.16.840.1.113883.12.404,2.16.840.1.113883.18.253,http://terminology.hl7.org/CodeSystem/v2-0404,2.16.840.1.113883.21.270,http://terminology.hl7.org/ValueSet/v2-0404,10,2.4,2.9,1
0405,User,Organization Unit,"Table of codes which specify the hierarchical components of an organization unit, as defined by the institution.  No suggested values.",OrganizationUnit,pa,N/A (0),ORG-2,,,2.16.840.1.113883.12.405,,,,,10,2.4,2.9,
0406,User,Participant Organization Unit Type,"HL7-defined table of codes that specify the environment in which the provider acts in the role associated with the provider type, and inludes codes for venues outside of formal organized healthcare settings, such as Home. The provider environment is not the specialty for the provider.",ParticipantOrganizationUnitType,oo,Example (1),"PRT-7, ROL-10",,,2.16.840.1.113883.12.406,2.16.840.1.113883.18.254,http://terminology.hl7.org/CodeSystem/v2-0406,2.16.840.1.113883.21.271,http://terminology.hl7.org/ValueSet/v2-0406,10,2.4,2.9,1
0409,User,Application Change Type,HL7-defined table of codes that specify a type of change being requested (if NMR query) or announced (if NMD unsolicited update).,ApplicationChangeType,inm,Example (1),NSC-1,,,2.16.840.1.113883.12.409,2.16.840.1.113883.18.255,http://terminology.hl7.org/CodeSystem/v2-0409,2.16.840.1.113883.21.272,http://terminology.hl7.org/ValueSet/v2-0409,10,2.3.1,2.9,1
0411,User,Supplemental Service Information Values,"Table of codes that specify supplemental service information sent between a placer system and a filler system for the universal procedure code reported in OBR-4 Universal Service ID. This specifies ordering information detail that is not available in other specific tables for fields in the OBR segment.  These might be details such as whether a study is to be done on the right or left, for example, where the study is of the arm and the order master file does not distinguish right from left, or whether a study is to be done with or without contrast (when the order master file does not make such distinctions).",SupplementalServiceInformationValues,oo,Example (1),"OBR-46, OBR-47, AIS-11, AIS-12",,UTG Missing CodeSystem,2.16.840.1.113883.12.411,2.16.840.1.113883.18.452,http://terminology.hl7.org/CodeSystem/v2-0411,2.16.840.1.113883.21.477,http://terminology.hl7.org/ValueSet/v2-0411,10,2.4,2.9,1
0412,User,Category Identifier,"Table of codes that specify a category name (term given to a group of service items for the purpose of classification). Examples: Laboratory, Pharmacy, Diagnostic Imaging, etc.  No suggested values.",CategoryIdentifier,oo,N/A (0),OM7-3,,,2.16.840.1.113883.12.412,,,,,10,2.4,2.9,
0413,User,Consent Identifier,Table of codes that provide an identifier for the consent specified for a service item.  No suggested values.,ConsentIdentifier,oo,N/A (0),OM7-12,,,2.16.840.1.113883.12.413,,,,,10,2.4,2.9,
0414,User,Units of Time,Table of codes that specify a unit of time.  No suggested values.,UnitsOfTime,oo,N/A (0),OM7-16,,,2.16.840.1.113883.12.414,,,,,10,2.4,2.9,
0415,HL7,Transfer Type,"HL7-defined table of codes that specify a type of hospital receiving a transfer patient, which affects how a facility is reimbursed under diagnosis related group (DRG's), for example, exempt or non-exempt.",TransferType,fm,Universal (3),DRG-11,,,2.16.840.1.113883.12.415,2.16.840.1.113883.18.257,http://terminology.hl7.org/CodeSystem/v2-0415,2.16.840.1.113883.21.274,http://terminology.hl7.org/ValueSet/v2-0415,10,2.4,2.9,1
0416,User,Procedure DRG Type,HL7-defined table of codes that specify a procedure's priority ranking relative to its DRG.,ProcedureDrgType,fm,Representative (2),PR1-17,,,2.16.840.1.113883.12.416,2.16.840.1.113883.18.258,http://terminology.hl7.org/CodeSystem/v2-0416,2.16.840.1.113883.21.275,http://terminology.hl7.org/ValueSet/v2-0416,10,2.4,2.9,1
0417,User,Tissue Type Code,HL7-defined table of codes that specify,TissueTypeCode,fm,Example (1),PR1-18,,,2.16.840.1.113883.12.417,2.16.840.1.113883.18.259,http://terminology.hl7.org/CodeSystem/v2-0417,2.16.840.1.113883.21.276,http://terminology.hl7.org/ValueSet/v2-0417,10,2.4,2.9,1
0418,User,Procedure Priority,HL7-defined table of codes specifying a number that identifies the significance or priority of the procedure code.,ProcedurePriority,fm,Representative (2),PR1-14,,,2.16.840.1.113883.12.418,2.16.840.1.113883.18.260,http://terminology.hl7.org/CodeSystem/v2-0418,2.16.840.1.113883.21.277,http://terminology.hl7.org/ValueSet/v2-0418,10,2.4,2.9,1
0421,User,Severity of Illness Code,Table of codes specifying the severity ranking of a patient's illness.,SeverityOfIllnessCode,fm,Representative (2),ABS-3,,,2.16.840.1.113883.12.421,2.16.840.1.113883.18.262,http://terminology.hl7.org/CodeSystem/v2-0421,2.16.840.1.113883.21.278,http://terminology.hl7.org/ValueSet/v2-0421,10,2.4,2.9,1
0422,User,Triage Code,Table of codes specifying a patient's prioritization within the context of this abstract.,TriageCode,fm,Example (1),ABS-6,,,2.16.840.1.113883.12.422,2.16.840.1.113883.18.263,http://terminology.hl7.org/CodeSystem/v2-0422,2.16.840.1.113883.21.279,http://terminology.hl7.org/ValueSet/v2-0422,10,2.4,2.9,1
0423,User,Case Category Code,Table of codes specifying the reason a non-urgent patient presents to the emergency room for treatment instead of a clinic or physican office.,CaseCategoryCode,fm,Example (1),ABS-9,,,2.16.840.1.113883.12.423,2.16.840.1.113883.18.264,http://terminology.hl7.org/CodeSystem/v2-0423,2.16.840.1.113883.21.280,http://terminology.hl7.org/ValueSet/v2-0423,10,2.4,2.9,1
0424,User,Gestation Category Code,Table of codes specifying the status of the birth in relation to the gestation,GestationCategoryCode,fm,Representative (2),ABS-11,,,2.16.840.1.113883.12.424,2.16.840.1.113883.18.265,http://terminology.hl7.org/CodeSystem/v2-0424,2.16.840.1.113883.21.281,http://terminology.hl7.org/ValueSet/v2-0424,10,2.4,2.9,1
0425,User,Newborn Code,Table of codes specifying whether the baby was born in or out of the facility.,NewbornCode,fm,Example (1),ABS-13,,,2.16.840.1.113883.12.425,2.16.840.1.113883.18.266,http://terminology.hl7.org/CodeSystem/v2-0425,2.16.840.1.113883.21.282,http://terminology.hl7.org/ValueSet/v2-0425,10,2.4,2.9,1
0426,User,Blood Product Code,Table of codes specifying the blood product code.,BloodProductCode,fm,Example (1),BLC-1,,,2.16.840.1.113883.12.426,2.16.840.1.113883.18.267,http://terminology.hl7.org/CodeSystem/v2-0426,2.16.840.1.113883.21.283,http://terminology.hl7.org/ValueSet/v2-0426,10,2.4,2.9,1
0427,User,Risk Management Incident Code,Table of codes specifying the incident that occurred during a patient's stay.,RiskManagementIncidentCode,fm,Example (1),RMI-1,,,2.16.840.1.113883.12.427,2.16.840.1.113883.18.268,http://terminology.hl7.org/CodeSystem/v2-0427,2.16.840.1.113883.21.284,http://terminology.hl7.org/ValueSet/v2-0427,10,2.4,2.9,1
0428,User,Incident Type Code,Table of codes specifying a classification of the incident type.,IncidentTypeCode,fm,Example (1),RMI-3,,,2.16.840.1.113883.12.428,2.16.840.1.113883.18.269,http://terminology.hl7.org/CodeSystem/v2-0428,2.16.840.1.113883.21.285,http://terminology.hl7.org/ValueSet/v2-0428,10,2.4,2.9,1
0429,User,Production Class Code,Table of codes specifying the code and/or text indicating the primary use for which the living subject was bred or grown.,ProductionClassCode,pa,Representative (2),PID-38,,,2.16.840.1.113883.12.429,2.16.840.1.113883.18.270,http://terminology.hl7.org/CodeSystem/v2-0429,2.16.840.1.113883.21.286,http://terminology.hl7.org/ValueSet/v2-0429,10,2.4,2.9,1
0430,User,Mode of Arrival Code,Table of codes specifying how the patient was brought to the healthcare facility.,ModeOfArrivalCode,pa,Representative (2),PV2-38,,,2.16.840.1.113883.12.430,2.16.840.1.113883.18.271,http://terminology.hl7.org/CodeSystem/v2-0430,2.16.840.1.113883.21.287,http://terminology.hl7.org/ValueSet/v2-0430,10,2.4,2.9,1
0431,User,Recreational Drug Use Code,Table of codes specifying what recreational drugs the patient uses.,RecreationalDrugUseCode,pa,Example (1),PV2-39,,,2.16.840.1.113883.12.431,2.16.840.1.113883.18.272,http://terminology.hl7.org/CodeSystem/v2-0431,2.16.840.1.113883.21.288,http://terminology.hl7.org/ValueSet/v2-0431,10,2.4,2.9,1
0432,User,Admission Level of Care Code,Table of codes specifying the acuity level assigned to the patient at the time of admission.,AdmissionLevelOfCareCode,pa,Representative (2),PV2-40,,,2.16.840.1.113883.12.432,2.16.840.1.113883.18.273,http://terminology.hl7.org/CodeSystem/v2-0432,2.16.840.1.113883.21.289,http://terminology.hl7.org/ValueSet/v2-0432,10,2.4,2.9,1
0433,User,Precaution Code,Table of codes specifying non-clincal precautions that need to be taken with the patient.,PrecautionCode,pa,Representative (2),PV2-41,,,2.16.840.1.113883.12.433,2.16.840.1.113883.18.274,http://terminology.hl7.org/CodeSystem/v2-0433,2.16.840.1.113883.21.290,http://terminology.hl7.org/ValueSet/v2-0433,10,2.4,2.9,1
