"Issue Type","Key","Status","Resolution","Summary","Reporter","Created","Updated","Priority","Assignee","Parent key","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Remote link","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments","Comments"
"Change Request","UP-186","Environment Setup","","Remove non-consent directive/type codes from ValueSet-v3-ActConsentDirectiveType","k.connor","2021-04-03 02:41","2021-04-15 01:09","Medium","k.connor","","https://confluence.hl7.org/pages/viewpage.action?pageId=108071370","","","","","","","","","","","","","","","","","","","","","","","2021-04-06 01:29;k.connor;Approved by Security WG https://confluence.hl7.org/pages/viewpage.action?pageId=108070033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-185","Environment Setup","","V2 / V3 ValueSets for InformationSensitivityPolicy have the same OID","ahenket","2021-03-25 01:42","2022-08-25 11:51","Medium","tedhl7geek","","","","","","","","","","","","","","","","","","","","","","","","","2022-08-25 11:51;FrankOemig;During the v2 tables project we have explicitly assigned the V3 VS OID.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-184","Environment Setup","","ValueSets v2-0078 and v3-ObservationIntrerpretation have the same oid","ahenket","2021-03-25 01:39","2022-08-25 11:52","Medium","tedhl7geek","","","","","","","","","","","","","","","","","","","","","","","","","2022-08-25 11:52;FrankOemig;This OID was manually assigned during the v2 tables project.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-183","Proposal Implemented","Done","Adding Laboratory Observation Subtype Value Set for CCDA Infectious Disease IG","marc.duteau","2021-03-24 02:24","2022-04-27 09:28","Medium","marc.duteau","","https://confluence.hl7.org/pages/viewpage.action?pageId=104579431","https://confluence.hl7.org/pages/viewpage.action?pageId=108069122","","","","","","","","","","","","","","","","","","","","","","2021-03-25 10:46;tedhl7geek;Fails syntax and format correctness check:
Duplicate Resource in IG: ValueSet/v2-0937
Exception in thread ""main"" java.lang.Error: Unable to continue because duplicate input resources were identified

This appears to be due to not updating the <id> value in the new resource from whatever template you copied it from, and you are not permitted to have any resources of the same types (e.g. ValueSet) with he same <id>.    In addition, for those resources rooted in terminology.hl7.org, the <id> value must match the final suffix of the <url> value.

Returning to Draft for correction.
","2021-03-25 01:12;marc.duteau;...Yup. One of these days I'll get one through without missing something like that.","2021-03-25 04:21;tedhl7geek;Now not a seg fault but a non-fatal hard build error:

ValueSets/v3-LaboratoryObservationSubtype.xml
Path	Severity	Message
/f:ValueSet (l25/c30)	error	Undefined element 'extensible'

I didn't look at your content so don't understand why or where you would have such an element because I only know that term as it pertains to binding, and value sets do not have bindings declared internal to their resources.  Please check your content and fix/resubmit with an explanation of what is going on here.   
Thanks.
","2021-03-25 05:08;marc.duteau;I took a look and it's got ""<extensible value=""false""/>"" I know I didn't add that in manually at all so it looks like the UTG editor adds <extensible value=""""/> no matter what and sets it to true if the extensible box is checked and false if it isn't. I removed it manually.","2021-03-25 05:31;tedhl7geek;Hmmm...how odd...I'll let [~jsnell]know about this it might be a bug that we have been hitherto ignorant of.  Sigh.  Thanks.","2021-03-26 08:22;jsnell;Very annoying, but it is something we are aware of and have entered a ticket for: https://jira.hl7.org/browse/HSCR-57 

I need to make sure this is mentioned in the documentation.

[~tedhl7geek], [~marc.duteau]","2021-03-26 12:00;Austin_Kreisler;[~marc.duteau] - I thought we were naming this value set ""Laboratory Result Observation Subtype"" but it looks like it's been added as ""Laboratory Observation Subtype"". I couldn't find the new vlue set in the Published example until I realized it was added using the wrong name.","2021-03-26 12:51;tedhl7geek;Exactly why the rendering for the Published Example is so critical and important for the community review.  Thank you [~Austin_Kreisler]
","2021-03-28 09:32;marc.duteau;...Of course. Looks like I kept the name the same as what it currently is in the IG instead of changing it like I thought I had.  I've made the change now.","2021-03-28 09:35;marc.duteau;Can't edit the description to include the newest bitbucket link without sending it back but it's: https://bitbucket.hl7.org/projects/UTG/repos/utg/commits/707f93d9572e2fe03ab44b180782c72fdc8c8bfe

The change is a correction to the name of the Value Set which should be Laboratory Result Observation Subtype. Thanks to [~Austin_Kreisler] for catching the error.","2021-04-01 03:21;RikiM;Hmm - when I follwo hte link to the published example I get to the main terminology at HL7.org page only - when I go to valuesets CDA I cannot find the valueset - I know I havevn't been as involved lately, but what am I missing?","2021-04-01 03:50;tedhl7geek;Riki, when I click on the Published Example link I get to the page for the proposal content (it looks just like a regular build).  The way to know if what you are looking at is correct is the banner on top:  

HL7 Terminology
2.1.5 - UTG Consensus Review Proposal UP-183

That second line tells you what you are looking at.   

The issue on the value set is a different question, and may represent something that was not done in the change proposal, and thus would indicate it may be incomplete.   if the value set name is changed, but the value set is not on the CDA value sets tab but should be then that would be a problem.   Perhaps Marc can clarify?

 ","2021-04-01 03:51;jsnell;Hi [~RikiM] ! It seems that the Value Set was added in the V3 tab (rather than CDA). I can't personally comment on the correctness of that, but it should help you find it. You can always look on the 'All Value Sets' tab as well.

There are a few breadcrumbs left around through the commit links that helped me decode where it was placed. We can see it was added to the v3-rendering.xml file (manifest). Addition of new resources (instead of changes to existing) can be a little trickier because we do not have that link to the existing artifact. Hope that helps!

 ","2021-04-01 04:27;RikiM;thanks to [~jsnell] I was able to find the valueset and review it - it looks good to me. I agree with Austin's comment about including result in there, since it is a subset of the underlying code system. I am not sure if WG reps are supposed to vote - and if so how, but consider OO approving of this request.","2021-04-14 11:20;AMS;I question why this value set is not extensible (<extensible value=""false""/>)? Is the CCDA Infectious Disease IG thought to be the only user of this value set and that the required code values have all been enumerated?
","2021-04-28 10:06;Rob_McClure;Value sets do not have an ""Extensible"" element so I think that is an error because that is a binding strength. Perhaps it was supposed to be ""experimental""?","2021-06-10 03:33;tedhl7geek;Value sets do not have an ""Extensible"" element so I think that is an error because that is a binding strength. Perhaps it was supposed to be ""experimental""?","2021-06-10 08:58;tedhl7geek;had to get it done today","","","","","","","","","","","","","","","",""
"Pro Forma","UP-182","Proposal Implemented","Done","Change Metadata for CodeSystem and Naming System: NHSN Surveillance System Codes (CDCNHSN)","jsnell","2021-03-24 09:32","2022-04-27 09:27","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=108071370","","","","","","","","","","","","","","","","","","","","","","","2021-03-24 04:25;tedhl7geek;[~jsnell]Please check that the rendered content looks ok, and if so I will implement it.
","2021-03-25 08:24;jsnell;Looks good. I will ask HTA to review as well prior to implementing.","2021-04-14 07:26;jsnell;[~tedhl7geek], content approved by HTA and CDC. Please implement.","2021-04-14 12:18;tedhl7geek;[~tedhl7geek], content approved by HTA and CDC. Please implement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-181","Environment Setup","","NamingSystem for v3-nuccProviderCodes has incorrect uri","ahenket","2021-03-23 12:32","2021-03-23 12:36","Medium","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-180","Proposal Implemented","Done","Change Metadata for Health Canada CodeSystems and Naming Systems","j_harper","2021-03-22 12:35","2022-04-27 09:26","Medium","tedhl7geek","","https://confluence.hl7.org/pages/viewpage.action?pageId=109545812","","","","","","","","","","","","","","","","","","","","","","","2021-03-22 02:27;j_harper;cs-v3-hc-AIC.xml
 * update URL
 * match id with suffix of url (set to lowercase)
 * change version to 3.0.0
 * change status to active
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

v3-hc-AIC.xml
 * add new preferred UniqueId, with comment and period
 * change existing UniqueId preferred to false.  Add a comment.
 * match id with codesystem id (set to lowercase)
 * change version to 3.0.0
 * change status to active
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

cs-v3-hc-AIGC.xml
 * update URL
 * match id with suffix of url (set to lowercase)
 * change version to 3.0.0
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

cs-v3-hc-AIGC.xml
 * add new preferred UniqueId, with comment and period
 * change existing UniqueId preferred to false.  Add a comment.
 * match id with codesystem id (set to lowercase)
 * change version to 3.0.0
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

cs-v3-hc-AIGN.xml
 * update URL
 * match id with suffix of url (set to lowercase)
 * change version to 3.0.0
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

cs-v3-hc-AIGN.xml
 * add new preferred UniqueId, with comment and period
 * change existing UniqueId preferred to false.  Add a comment.
 * match id with codesystem id (set to lowercase)
 * change version to 3.0.0
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

cs-v3-hc-NPN.xml
 * update URL
 * match id with suffix of url (set to lowercase)
 * change version to 3.0.0
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

cs-v3-hc-NPN.xml
 * add comment and period for preferred UniqueId
 * add a non-preferred UniqueId with a comment for http://hl7.org/fhir/NamingSystem/ca-hc-npn
 * add a non-preferred UniqueId with a comment for http://hl7.org/fhir/sid/ca-hc-npn
 * match id with codesystem id (set to lowercase)
 * change version to 3.0.0
 * set date to 2021-03-22
 * set publisher to Health Canada
 * update description

external-Rendering.xml
 * added entry for v3-hc-aic
 * added entry for v3-hc-aigc
 * updated entry for v3-hc-aign
 * updated entry for v3-hc-npn

v3-publishing.xml
 * changed entries to lowercase for v3-hc-aic, v3-hc-aigc, v3-hc-aign

utg.xml
 * removed parameters for previous canonical URLs for hcAIC, hcAIGC, hcAIGN, and hcNPN.  They are now rooted at THO.","2021-03-22 04:32;tedhl7geek;Content check failed, cannot run the build.     Must return to Draft for correction.
Error from build validation process is:
Stack Dump (for debugging):                                                      (00:38.0118)
java.lang.Exception: Error parsing /.../UP-180/input/sourceOfTruth/external/v3/namingSystems/v3-hc-AIGN: Invalid date/time format: ""202119-03-22T00:00:00-04:00"": Expected character '-' at index 4 but found 1","2021-03-22 07:04;j_harper;I'll do a quick update tomorrow morning.  I changed the date by changing 2019 to 2021 but left the 19 in.","2021-03-23 07:07;j_harper;[~tedhl7geek] That should be fixed now.","2021-03-23 04:40;tedhl7geek;[~jsnell][~j_harper]All errors clear, build generated, ready for QA review.  Once review results OK and posted here I will push to Implement.","2021-03-31 01:24;jsnell;[~tedhl7geek], HTA approved this for implementation today (3/31/21). I also reviewed the content and it looks good. Please implement.","2021-03-31 02:50;tedhl7geek;[~tedhl7geek], HTA approved this for implementation today (3/31/21). I also reviewed the content and it looks good. Please implement.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-179","Waiting for Input","","Terminology package for STU3 contains incorrect URIs","ahenket","2021-03-21 04:32","2021-04-26 07:20","Medium","","","https://confluence.hl7.org/pages/viewpage.action?pageId=104580220","https://confluence.hl7.org/pages/viewpage.action?pageId=104583007","https://confluence.hl7.org/pages/viewpage.action?pageId=108070752","https://confluence.hl7.org/pages/viewpage.action?pageId=109545819","https://confluence.hl7.org/pages/viewpage.action?pageId=109548208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-178","Proposal Implemented","Done","Adding code VWDR and clarifying definition of code VW in v3-WorkClassificationODH code system","marc.duteau","2021-03-17 04:17","2021-03-30 12:19","Medium","marc.duteau","","https://confluence.hl7.org/pages/viewpage.action?pageId=108069122","","","","","","","","","","","","","","","","","","","","","","","2021-03-18 09:57;tedhl7geek;Validation content check build failed.  Error is:
     [java] Unable to find 'internalId' property on code VWDR in code system WorkClassificationODH
     [java] Processing terminated by xsl:message at line 9 in mifQA.xslt

Issue is that all codes that are for systems that end up generated into the coremif need an internalID value - see the other codes for examples.  This must be unique, but the old VMIF processing we used years ago no longer exists so there is not a way to generate this value automatically so it is unique.  A rule of thumb that works is pick one of the other codes, add a zero on the end of the internalID value (multiply by 10) and that almost always works fine.

Returning to Draft for Submitter to apply fix.
","2021-03-18 10:18;marc.duteau;Sounds good. Was going to ask if this was documented anywhere and I just missed it but then I noticed the big glaring red text on https://confluence.hl7.org/pages/viewpage.action?pageId=91995515#SpecifyingtheDetailsInsidetheProposal-CodeSystemConcepts...","2021-03-18 10:56;tedhl7geek;seems good to go","2021-03-22 10:04;tedhl7geek;seems good to go","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-177","Proposal Implemented","Done","Add four NEW namespaces for medical device transport identifiers","brianreinhold","2021-03-17 01:48","2022-04-27 09:29","Medium","jsnell","","https://confluence.hl7.org/pages/viewpage.action?pageId=113674384","","","","","","","","","","","","","","","","","","","","","","","2021-03-17 02:14;brianreinhold;This resource is for the Bluetooth address identifier

{noformat}
<NamingSystem xmlns=""http://hl7.org/fhir"">
  <id value=""bluetooth-address-identifier""/>
  <extension url=""http://hl7.org/fhir/tools/StructureDefinition/extension-title"">
    <valueString value=""Bluetooth Address as a device identifier""/>
  </extension>
  <extension url=""http://hl7.org/fhir/5.0/StructureDefinition/extension-NamingSystem.url"">
    <valueUri value=""http://terminology.hl7.org/NamingSystem/bluetooth-address-identifier""/>
  </extension>
  <extension url=""http://terminology.hl7.org/StructureDefinition/ext-namingsystem-version"">
    <valueString value=""2.1.0""/>
  </extension>
  <name value=""Bluetooth_Address_Identifier""/>
  <status value=""active""/>
  <kind value=""identifier""/>
  <date value=""2021-03-16T00:00:00-04:00""/>
  <publisher value=""IHE Patient Care Devices (PCD)""/>
  <contact>
    <name value=""Devices on FHIR working group; IHE Patient Care Devices""/>
  </contact>
  <responsible value=""IHE Patient Care Devices""/>
  <description value=""The IHE Patient Care Devices handles standardization of communicating medical devices for both acute point of care and remote patient monitoring uses.""/>
  <uniqueId>
    <type value=""uri""/>
    <value value=""http://hl7.org/fhir/sid/eui-48/bluetooth""/>
    <preferred value=""true""/>
    <comment value=""Bluetooth EUI-48 address"" />
  </uniqueId>
</NamingSystem>
{noformat}


 ","2021-03-17 02:16;brianreinhold;This resource is for the Ethernet MAC address


{noformat}
<NamingSystem xmlns=""http://hl7.org/fhir"">
  <id value=""ethernet-address-identifier""/>
  <extension url=""http://hl7.org/fhir/tools/StructureDefinition/extension-title"">
    <valueString value=""Ethernet MAC Address as a device identifier""/>
  </extension>
  <extension url=""http://hl7.org/fhir/5.0/StructureDefinition/extension-NamingSystem.url"">
    <valueUri value=""http://terminology.hl7.org/NamingSystem/ethernet-address-identifier""/>
  </extension>
  <extension url=""http://terminology.hl7.org/StructureDefinition/ext-namingsystem-version"">
    <valueString value=""2.1.0""/>
  </extension>
  <name value=""Ethernet_Address_Identifier""/>
  <status value=""active""/>
  <kind value=""identifier""/>
  <date value=""2021-03-16T00:00:00-04:00""/>
  <publisher value=""IHE Patient Care Devices (PCD)""/>
  <contact>
    <name value=""Devices on FHIR working group; IHE Patient Care Devices""/>
  </contact>
  <responsible value=""IHE Patient Care Devices""/>
  <description value=""The IHE Patient Care Devices handles standardization of communicating medical devices for both acute point of care and remote patient monitoring uses.""/>
  <uniqueId>
    <type value=""uri""/>
    <value value=""http://hl7.org/fhir/sid/eui-48/ethernet""/>
    <preferred value=""true""/>
    <comment value=""Ethernet EUI-48 MAC address"" />
  </uniqueId>
</NamingSystem>
{noformat}


 ","2021-03-17 02:17;brianreinhold;This resource is for the ZigBee address


{noformat}
<NamingSystem xmlns=""http://hl7.org/fhir"">
  <id value=""zigbee-address-identifier""/>
  <extension url=""http://hl7.org/fhir/tools/StructureDefinition/extension-title"">
    <valueString value=""ZigBee Address as a device identifier""/>
  </extension>
  <extension url=""http://hl7.org/fhir/5.0/StructureDefinition/extension-NamingSystem.url"">
    <valueUri value=""http://terminology.hl7.org/NamingSystem/zigbee-address-identifier""/>
  </extension>
  <extension url=""http://terminology.hl7.org/StructureDefinition/ext-namingsystem-version"">
    <valueString value=""2.1.0""/>
  </extension>
  <name value=""ZigBee_Address_Identifier""/>
  <status value=""active""/>
  <kind value=""identifier""/>
  <date value=""2021-03-16T00:00:00-04:00""/>
  <publisher value=""IHE Patient Care Devices (PCD)""/>
  <contact>
    <name value=""Devices on FHIR working group; IHE Patient Care Devices""/>
  </contact>
  <responsible value=""IHE Patient Care Devices""/>
  <description value=""The IHE Patient Care Devices handles standardization of communicating medical devices for both acute point of care and remote patient monitoring uses.""/>
  <uniqueId>
    <type value=""uri""/>
    <value value=""http://hl7.org/fhir/sid/eui-64/zigbee""/>
    <preferred value=""true""/>
    <comment value=""ZigBee address"" />
  </uniqueId>
</NamingSystem>
{noformat}
","2021-03-17 02:17;brianreinhold;This resource is for the USB VID and PID address


{noformat}
<NamingSystem xmlns=""http://hl7.org/fhir"">
  <id value=""usb-address-identifier""/>
  <extension url=""http://hl7.org/fhir/tools/StructureDefinition/extension-title"">
    <valueString value=""USB VID and PID as a device identifier""/>
  </extension>
  <extension url=""http://hl7.org/fhir/5.0/StructureDefinition/extension-NamingSystem.url"">
    <valueUri value=""http://terminology.hl7.org/NamingSystem/usb-address-identifier""/>
  </extension>
  <extension url=""http://terminology.hl7.org/StructureDefinition/ext-namingsystem-version"">
    <valueString value=""2.1.0""/>
  </extension>
  <name value=""USB_Address_Identifier""/>
  <status value=""active""/>
  <kind value=""identifier""/>
  <date value=""2021-03-16T00:00:00-04:00""/>
  <publisher value=""IHE Patient Care Devices (PCD)""/>
  <contact>
    <name value=""Devices on FHIR working group; IHE Patient Care Devices""/>
  </contact>
  <responsible value=""IHE Patient Care Devices""/>
  <description value=""The IHE Patient Care Devices handles standardization of communicating medical devices for both acute point of care and remote patient monitoring uses.""/>
  <uniqueId>
    <type value=""uri""/>
    <value value=""http://hl7.org/fhir/sid/usb""/>
    <preferred value=""true""/>
    <comment value=""USB VID (Vendor identifier) and PID (Product identifier) address"" />
  </uniqueId>
</NamingSystem>
{noformat}
","2021-03-17 02:20;brianreinhold;I thought Jessica Snell and Jessica Bota were two different people ....","2021-05-24 07:13;brianreinhold;Approved 5/24/2021 by Devices Work Group. Results 5-0-0 of vote.","2021-05-24 09:15;jsnell;[~brianreinhold], I tested adding an attachment and it worked fine. How did you attempt to add them?","2021-05-24 09:29;brianreinhold;I suppose you mean where did I put them?

If that is the case I put them here:

utg\input\sourceOfTruth\external\hta\namingSystems","2021-05-24 09:42;jsnell;[~brianreinhold], I'm actually trying to troubleshoot the issue you had adding attachments. You mention in the Proposal Description area that you attempted to add attachments but all Jira did was add them as comments. I created an XML file from the contents of one of your comments and was able to attach it via drag-and-drop to the ticket. I'd just like to nail down why it wouldn't let you add them.","2021-06-21 12:06;jsnell;Moved back to Content Check so that the descriptions can be updated. ","2021-06-21 01:32;tedhl7geek;Moved back to Content Check so that the descriptions can be updated. ","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-176","Proposal Implemented","Done","Change Metadata for CodeSystem and Naming System: Health Canada Drug Id Number (hcDIN)","j_harper","2021-03-11 09:16","2021-04-15 10:02","Medium","j_harper","","https://confluence.hl7.org/pages/viewpage.action?pageId=108069122","","","","","","","","","","","","","","","","","","","","","","","2021-03-11 04:35;tedhl7geek;This has errors in the validation build content checks and cannot be put to Consensus Review until they are fixed.  There are 4 errors, I think caused by only two bits not done - 3 are from one problem.   The errors are:   

|*CodeSystem.where(url = 'http://terminology.hl7.org/CodeSystem/ca-hc-din')*|*error*|*Conformance resource /Users/tedklein/Documents/tedhl7/vocabulary/Projects/UTG/gitImages/in-flight/UP-176/input/sourceOfTruth/external/v3/codeSystems/cs-v3-hc-DIN.xml - the canonical URL (http://terminology.hl7.org/CodeSystem/v3-hc-DIN) does not match the URL (http://terminology.hl7.org/CodeSystem/ca-hc-din)*|
|*CodeSystem.url*|*error*|*Resource id/url mismatch: v3-hc-DIN/http://terminology.hl7.org/CodeSystem/ca-hc-din*|
|*/Users/tedklein/Documents/tedhl7/vocabulary/Projects/UTG/gitImages/in-flight/UP-176/input/sourceOfTruth/external/v3/codeSystems/cs-v3-hc-DIN*|*error*|*URL Mismatch http://terminology.hl7.org/CodeSystem/v3-hc-DIN vs http://terminology.hl7.org/CodeSystem/ca-hc-din*|
List/external-Rendering: List.entry[234].item (l1441/c11)	error	Unable to resolve resource 'http://www.canada.ca/en/health-canada/services/drugs-health-products/drug-products/drug-product-database-3'
","2021-03-16 02:54;rhausam;Why is the code system publisher listed as ""TBD - External Body""?","2021-03-16 02:55;rhausam;And I'm not seeing the updated NamingSystem in the published example.  Where am I missing it?","2021-03-16 03:06;j_harper;That is the existing value in the XML.  It was not changed.","2021-03-16 03:10;j_harper;Hi Robert,

I don't understand the question. 

There is a HcDIN entry in the Naming Systems in the Published Example.","2021-03-16 04:00;rhausam;But I think it needs to be changed?","2021-03-16 04:13;rhausam;The issue with this turned out to be that, from the links in the proposal, it was not at all obvious that I should be searching for a NamingSystem called ""HcDIN"".  In retrospect, in a separate chat Ted has pointed out that you always need to look for what's in the Name field.  But that actually hadn't become clear to me until right now, and my assumption was and would still have been that I would expect that the Name field would include at least one or more of the words in the title like ""Canada"", ""Health"", ""Drug"", ""Id"" or ""Number"" - none of which I was able to find in searching the page.","2021-03-16 08:55;rhausam;Also, I'm wondering if the Publisher for the Health Canada Drug Id Number NamingSystem should be ""HL7"" (not sure what the best answer for this should be, just asking)?","2021-03-17 08:38;tedhl7geek;Also, I'm wondering if the Publisher for the Health Canada Drug Id Number NamingSystem should be ""HL7"" (not sure what the best answer for this should be, just asking)?","","","","","","","","","","","","","","","","","","","","","","","","",""
"Change Request","UP-175","Proposal Implemented","Done","Add new code CAREGAP to ActCode and update DetectedIssueCategory value set definition","yanheras","2021-03-10 07:47","2022-04-27 09:26","Medium","yanheras","","https://confluence.hl7.org/pages/viewpage.action?pageId=109545812","","","","","","","","","","","","","","","","","","","","","","","2021-03-26 12:23;tedhl7geek;Syntax and completeness check of content failed.    Error:

     [java] Unable to find 'internalId' property on code CAREGAP in code system ActCode
     [java] Processing terminated by xsl:message at line 9 in mifQA.xslt
Publishing Content Failed: Java returned: 1                                      (03:21.0035)
Stack Dump (for debugging):  

Note to Submitter:   v3 content must have an 'internalID' property for all concepts.  For those code systems whose content is included in the V3 coremif, this is a fatal error preventing a build.    Please correct and resubmit.

In addition, it would be very helpful to include a URL link in the 'Change Objects' field to the objects being modified (in this case ActCode) in the THO ci build.

Returning to Draft state.
","2021-03-31 10:19;tedhl7geek;One subtle error which broke the coremif generator:   when adding a new concept and code, and setting a value for the code status property the datatype of the value must be valueCode (not valueString).   Corrected and moved ahead.

 ","2021-03-31 10:20;tedhl7geek;fixed one content error on the new code for the status property","2021-04-01 01:30;mitrep9g;[http://build.fhir.org/ig/HL7/davinci-deqm/StructureDefinition-gaps-detectedissue-deqm-definitions.html#DetectedIssue.code] refers to [http://hl7.org/fhir/R4/valueset-detectedissue-category.html] which is defined currently as

Include codes from http://terminology.hl7.org/CodeSystem/v3-ActCode 
where concept is-a _AdministrationDetectedIssueCode
where concept is-a _ActSuppliedItemDetectedIssueCode
where concept is-a _SupplyDetectedIssueCode

 

This UTG proposal adds CAREGAP under _ClinicalActionDetectedIssueCode, but a separate FHIR Jira issue will be created to add ""where concept is-a _ClinicalActionDetectedIssueCode"" to that valueset.

Note [https://terminology.hl7.org/2.1.0/CodeSystem-v3-ActCode.html] shows __ClinicalActionDetectedIssueCode with status=retired.  Is that a problem (even though NotSelectable is true)?","2021-04-01 03:14;yanheras;Hi [~mitrep9g], this proposal has included changing status of __ClinicalActionDetectedIssueCode from retired to active. 

Here is the tracker FHIR-31677 that requests an update to the Detected Issue Category value set

 ","2021-04-05 02:12;ahenket;After reading the request I'm left clueless as to what a ""care gap"" is. I would abstain in absence of a definition I understand, having no objection against adding said code. But friendly amendment: could you expand on the definition so I can know what this code means?

Also I accidentally hit ""Tabled"". Sorry for that. I was looking for abstention as a button and thought I'd find a table of votes behind that button. I did not suspect a status change.","2021-04-05 02:37;yanheras;Thanks for your review [~ahenket]. Care gap is defined as discrepancies between recommended best practices and the services that are actually provided and documented. ","2021-04-06 10:48;rhausam;The definition for CAREGAP appears to have a typo:
{noformat}
Identifies the type of detected issues is care gap{noformat}
I'm not sure exactly what is intended here, as even changing ""is"" to ""in"" still isn't clear and doesn't seem to make complete sense.

 ","2021-04-06 12:13;yanheras;Thank you for your review [~rhausam]. The ""is"" wasn't a typo. This concept is intended to indicate that there are care gaps identified. These care gaps are defined as discrepancies between best practices and the services that are actually provided and documented, for example a patient does not meet the numerator or denominator exclusions criteria of Colorectal Cancer Screen measure so there is a care gap.

[~ahenket] and [~rhausam], we are planning to start the publication process for the Data Exchange for Quality Measure IG ([http://build.fhir.org/ig/HL7/davinci-deqm/)] very soon. Our only remaining QA errors are generated by needing this new ActCode and also a new valid LOINC code for gaps in care report that we requested for this IG is not recognized by the IG publisher. So this is an immediate blocker for us. If you don't oppose of adding this new concept, would it be okay to approve this proposal first? so it would help us resolving the QA errors to move forward.  I would be more than happy to submit a new proposal to update the concept definition (with your input) right after! ","2021-04-06 01:09;rhausam;That's fair enough.  The definition does need to be revised, but with that I'm happy to vote.","2021-04-06 02:07;yanheras;Thank you [~rhausam]","2021-04-08 07:25;Brett.Marquard;Should issue be singular? 

> Identifies the type of detected issue a care gap","2021-04-08 07:26;tedhl7geek;Should issue be singular? 

> Identifies the type of detected issue a care gap","2021-04-08 07:39;Brett.Marquard;This still reads a little funny to me - what about

- Identifies the type of detected issue as a care gap
- Identifies the type of detected issue is a care gap","","","","","","","","","","","","","","","","","","","",""
"Pro Forma","UP-174","Proposal Implemented","Done","Remove Slashes from NCPDP URIs","jsnell","2021-03-10 02:32","2021-06-18 07:44","Medium","jsnell","","","","","","","","","","","","","","","","","","","","","","","","","2021-03-10 06:08;tedhl7geek;[~jsnell] please verify build and I'll implement it

 ","2021-03-11 07:17;jsnell;[~tedhl7geek], looks good. Please implement.","2021-03-11 09:39;tedhl7geek;[~tedhl7geek], looks good. Please implement.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
