Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0443 -- Provider Role,DOM: 443,ProviderRole,"The domain of possible values for the functional involvement with
the activity being transmitted (e.g., Case Manager, Evaluator,
Transcriber, Nurse Care Practitioner, Midwife, Physician Assistant,
etc.).",false,2.16.840.1.113883.18.283,providerRole,"Code system of concepts specifying the functional involvement with
the activity being transmitted (e.g., Case Manager, Evaluator,
Transcriber, Nurse Care Practitioner, Midwife, Physician Assistant,
etc.). Used in HL7 Version 2.x messaging in the ROL segment.",Provider Role Code System,http://terminology.hl7.org/CodeSystem/v2-0443,,,,,,01.11.2000,3,2.4,2.16.840.1.113883.21.299,hl7VS-providerRole,"Value Set of codes that specify the functional involvement with the
activity being transmitted (e.g., Case Manager, Evaluator, Transcriber,
Nurse Care Practitioner, Midwife, Physician Assistant, etc.).",Provider Role Value Set,http://terminology.hl7.org/ValueSet/v2-0443,all codes,,,,,unspecified,0443,2.16.840.1.113883.12.443,Provider Role,"Table of codes specifying the functional involvement with the
activity being transmitted (e.g., Case Manager, Evaluator, Transcriber,
Nurse Care Practitioner, Midwife, Physician Assistant, etc.).",User,PA,ROL-3,2.4,,
0444 -- Name Assembly Order,DOM: 444,NameAssemblyOrder,"The domain of possible values specifying the preferred display order
of the components of this person name.",false,2.16.840.1.113883.18.284,nameAssemblyOrder,"Code system of concepts specifying the preferred display order of
the components of this person name. Used in HL7 Version 2.x messaging in
the PPN, XCN and XPN segments.",Name Assembly Order Code System,http://terminology.hl7.org/CodeSystem/v2-0444,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.300,hl7VS-nameAssemblyOrder,"Value Set of codes specifying the preferred display order of the
components of this person name.",Name Assembly Order Value Set,http://terminology.hl7.org/ValueSet/v2-0444,all codes,,,,,universal,0444,2.16.840.1.113883.12.444,Name Assembly Order,"HL7-defined table of codes specifying the preferred display order of
the components of this person name.",HL7,InM,"PPN-19, XCN-18, XPN-11",2.4,,
0445 -- Identity Reliability Code,DOM: 445,IdentityReliabilityCode,"The domain of possible values for the reliability of patient/person
identifying data transmitted via a transaction.",false,2.16.840.1.113883.18.285,identityReliability,"Code system of concepts specifying the reliability of patient/person
identifying data transmitted via a transaction. Used in HL7 Version 2.x
messaging in the PID segment.",Identity Reliability Code Code System,http://terminology.hl7.org/CodeSystem/v2-0445,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.301,hl7VS-identityReliabilityCode,"Value Set of codes that specify the reliability of patient/person
identifying data transmitted via a transaction.",Identity Reliability Code Value Set,http://terminology.hl7.org/ValueSet/v2-0445,all codes,,,,,example,0445,2.16.840.1.113883.12.445,Identity Reliability Code,"Table of codes specifying the reliability of patient/person
identifying data transmitted via a transaction.",User,PA,PID-32,2.4,,
0446 -- Species Code,DOM: 446,SpeciesCode,"The domain of possible values for the species of living
organism.",true,,,,,,,,,,,,,,,,,,,,,,,,,0446,2.16.840.1.113883.12.446,Species Code,"Table of codes specifying the species of living organism. No
suggested values.",User,PA,PID-35,2.4,,
0447 -- Breed Code,DOM: 447,BreedCode,The domain of possible values for the specific breed of animal.,true,,,,,,,,,,,,,,,,,,,,,,,,,0447,2.16.840.1.113883.12.447,Breed Code,"Table of codes specifying the specific breed of animal. No suggested
values.",User,PA,PID-36,2.4,,
0448 -- Name Context,DOM: 448,NameContext,"The domain of possible values specifying the context in which a name
is used.",true,,,,,,,,,,,,,,,,,,,,,,,,,0448,2.16.840.1.113883.12.448,Name Context,"Table of codes specifying the context in which a name is used. No
suggested values.",User,InM,"PPN.17, XCN.16, XPN.9",2.4,,
0450 -- Event Type,DOM: 450,EQPEventType,"The domain of possible values specifying the type of event of the
message.",false,2.16.840.1.113883.18.286,eventType,"HL7-defined code system of concepts specifying the type of event of
the message. Used in HL7 Version 2.x messaging in the EQP segment.",Event Type Code System,http://terminology.hl7.org/CodeSystem/v2-0450,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.302,hl7VS-eventType,Value Set of codes specifying the type of event of the message.,Event Type Value Set,http://terminology.hl7.org/ValueSet/v2-0450,all codes,,,,,universal,0450,2.16.840.1.113883.12.450,Event Type,"HL7-defined table of codes specifying the type of event of the
message.",HL7,OO,EQP-1,2.4,,
0451 -- Substance Identifier,DOM: 451,SubstanceIdentifier,"The domain of possible values specifying the substance that is in
inventory.",true,,,,,,,,,,,,,,,,,,,,,,,,,0451,2.16.840.1.113883.12.451,Substance Identifier,"Table of codes specifying the substance that is in inventory. No
suggested values.",User,OO,INV-1,2.4,,
0452 -- Health Care Provider Type Code,DOM: 452,HealthCareProviderTypeCode,"The domain of possible values for the major grouping of the service
or occupation of a practitioner at a specific organization unit.",true,,,,,,,,,,,,,,,,,,,,,,,,,0452,2.16.840.1.113883.12.452,Health Care Provider Type Code,"Table of codes specifying the major grouping of the service or
occupation of the practitioner at a specific organization unit. In the
US, it is suggested to use ANSI ASC X12 Health Care Provider Taxonomy,
Level 1 - Type",User,PA,ORG-6,2.4,,
0453 -- Health Care Provider Classification,DOM: 453,HealthCareProviderClassification,"The domain of possible values for the more specific service or
occupation within the healthcare provider type of the practitioner at a
specific organization unit.",true,,,,,,,,,,,,,,,,,,,,,,,,,0453,2.16.840.1.113883.12.453,Health Care Provider Classification,"Table of codes specifying the more specific service or occupation
within the healthcare provider type of the practitioner at a specific
organization unit. Health Care Provider ClassificationIn the US, it is
suggested to use ANSI ASC X12 Health Care Provider Taxonomy, Level 2 -
Classification",User,PA,ORG-7,2.4,,
0454 -- Health Care Provider Area of Specialization,DOM: 454,HealthCareProviderAreaOfSpecialization,"The domain of possible values for the segment of the population that
a health care provider chooses to service, a specific medical service, a
specialization in treating a specific disease, or any other descriptive
characteristic about a provider’s practice relating to the services
rendered of a practitioner at a specific organization unit.",true,,,,,,,,,,,,,,,,,,,,,,,,,0454,2.16.840.1.113883.12.454,Health Care Provider Area of Specialization,"Table of codes specifying the segment of the population that a
health care provider chooses to service, a specific medical service, a
specialization in treating a specific disease, or any other descriptive
characteristic about the provider’s practice relating to the services
rendered of the practitioner at a specific organization unit.Health Care
Provider Area of Specialization. In the US it is suggested to use ANSI
ASC X12 Health Care Provider Taxonomy, Level 2 - Classification.",User,PA,ORG-8,2.4,,
0455 -- Type of Bill Code,DOM: 455,TypeOfBillCode,"The domain of possible values specifying the specific type of bill
with digit 1 showing type of facility, digit 2 showing bill
classification and digit 3 showing frequency.",true,,,,,,,,,,,,,,,,,,,,,,,,,0455,2.16.840.1.113883.12.455,Type of Bill Code,"Table of codes specifying the specific type of bill with digit 1
showing type of facility, digit 2 showing bill classification and digit
3 showing frequency. No suggested values.",User,FM,GP1-1,2.4,,
0456 -- Revenue code,DOM: 456,RevenueCode,"The domain of possible values specifying a service line revenue
code. These are claim codes indicating the identifying number for the
product or service provided.",false,2.16.840.1.113883.6.301.3,nubc-ServiceLineRevenue-cs,"Code system of concepts specifying a revenue code as specified in
the . National Uniform Billing Committee (NUBC) UB-04 manual, UB form
locator 42, the service line revenue code. These are claim codes
indicating the identifying number for the product or service provided.
The UB-04 Data Specifications Manual with the codes is available by
subscription from NUBC at http://www.nubc.org/become.html. Used in HL7
Version 2.x messaging in the Revenue Code (GP1) value. Updated by NUBC
annually; see the coding instructions for more detail.",Revenue code Code System,http://terminology.hl7.org/CodeSystem/v2-0456,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.476,hl7VS-revenueCode,"Value Set of codes specifying a revenue code as specified in the
National Uniform Billing Committee (NUBC) UB-04 manual, UB form locator
42, the service line revenue code. These are claim codes indicating the
identifying number for the product or service provided. The UB-04 Data
Specifications Manual with the codes is available by subscription from
NUBC at http://www.nubc.org/become.html.",Revenue code Value Set,http://terminology.hl7.org/ValueSet/v2-0456,all codes,,,,,US realm,0456,2.16.840.1.113883.12.456,Revenue code,"Externally defined table of codes specifying a service line revenue
code. These are claim codes indicating the identifying number for the
product or service provided. In the US, NUBC codes generally used, see
code system 2.16.840.1.113883.6.301.3; more information may be found at
http://www.nubc.org/become.html. The UB-04 Data Specifications Manual
with the codes is available by subscription from NUBC at
http://www.nubc.org/become.html, UB form locater 42.",User,FM,"GP1-2, FT1-41",2.4,,
0457 -- Overall Claim Disposition Code,DOM: 457,OverallClaimDispositionCode,"The domain of possible values specifying the final status of the
claim.",false,2.16.840.1.113883.18.292,overallClaimDisposition,"Code system of concepts specifying the final status of the claim.
Used in HL7 Version 2.x messaging in the GP1 segment.",Overall Claim Disposition Code Code System,http://terminology.hl7.org/CodeSystem/v2-0457,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.308,hl7VS-overallClaimDispositionCode,Value Set of codes specifying the final status of the claim.,Overall Claim Disposition Code Value Set,http://terminology.hl7.org/ValueSet/v2-0457,all codes,,,,,example,0457,2.16.840.1.113883.12.457,Overall Claim Disposition Code,Table of codes specifying the final status of the claim.,User,FM,GP1-3,2.4,,
0458 -- OCE Edit Code,DOM: 458,OceEditCode,"The domain of possible values that specify the edits that result
from processing the HCPCS/CPT procedures for a record after evaluating
all the codes, revenue codes, and modifiers.",true,,,,,,,,,,,,,,,,,,,,,,,,,0458,2.16.840.1.113883.12.458,OCE Edit Code,"Table of codes that specify the edits that result from processing
the HCPCS/CPT procedures for a record after evaluating all the codes,
revenue codes, and modifiers. The codes listed as examples are not an
exhaustive or current list, refer to OPPS Final Rule. OCE (Outpatient
Code Editor) edits also exist at the pre-procedure level. This field is
defined by CMS or other regulatory agencies.",User,FM,GP1-3,2.4,,
0459 -- Reimbursement Action Code,DOM: 459,ReimbursementActionCode,"The domain of possible values for the action to be taken during
reimbursement calculations.",false,2.16.840.1.113883.6.301.9,cms-OCEEditCode-cs,"Code system of concepts specifying the action to be taken during
reimbursement calculations. Used in HL7 Version 2.x messaging in the GP2
segment.",Reimbursement Action Code Code System,,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.309,hl7VS-reimbursementActionCode,"Value Set of codes that specify the action to be taken during
reimbursement calculations.",Reimbursement Action Code Value Set,,all codes,,,,,example,0459,2.16.840.1.113883.12.459,Reimbursement Action Code,"Table of codes specifying the action to be taken during
reimbursement calculations.",External,FM,GP2-4,2.4,,
0460 -- Denial or Rejection Code,DOM: 460,DenialOrRejectionCode,"The domain of possible values for the OCE status of the line
item.",false,2.16.840.1.113883.18.294,denialOrRejectionType,"Code system of concepts specifying the OCE status of the line item.
Used in HL7 Version 2.x messaging in the GP2 segment.",Denial or Rejection Code Code System,,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.310,hl7VS-denialOrRejectionCode,"Value Set of codes that specify the OCE status of the line
item.",Denial or Rejection Code Value Set,,all codes,,,,,unspecified,0460,2.16.840.1.113883.12.460,Denial or Rejection Code,Table of codes specifying the OCE status of the line item.,User,FM,GP2-5,2.4,,
0461 -- License Number,DOM: 461,LicenseNumber,"The domain of possible values for the license number for the
facility.",true,,,,,,,,,,,,,,,,,,,,,,,,,0461,2.16.840.1.113883.12.461,License Number,"Table of codes specifying the license number for the facility. No
suggested values.",User,InM/PA,LOC-7,2.4,,
0462 -- Location Cost Center,DOM: 462,LocationCostCenter,"The domain of possible values for the cost center to which this
location belongs.",true,,,,,,,,,,,,,,,,,,,,,,,,,0462,2.16.840.1.113883.12.462,Location Cost Center,"Table of codes specifying the cost center to which this location
belongs. No suggested values.",User,InM/PA,LDP-12,2.4,,
0463 -- Inventory Number,DOM: 463,InventoryNumber,"The domain of possible values specifying an identifying stock
number, if any, which might be used, for example, as a cross reference
for materials management.",true,,,,,,,,,,,,,,,,,,,,,,,,,0463,2.16.840.1.113883.12.463,Inventory Number,"Table of codes specifying an identifying stock number, if any, which
might be used, for example, as a cross reference for materials
management. No suggested values.",User,InM/FM,CDM-9,2.4,,
0464 -- Facility ID,DOM: 464,FacilityId,"The domain of possible values for the facility of the institution
for which a specified price is valid. For use when needing
multi-facility pricing.",true,,,,,,,,,,,,,,,,,,,,,,,,,0464,2.16.840.1.113883.12.464,Facility ID,"Table of codes specifying the facility of the institution for which
this price (for the preceding CDM entry) is valid. For use when needing
multi-facility pricing. If null, assume all facilities. In a
multi-facility environment, the facility associated with this chargeable
item may not be the same as the sending or receiving facility identified
in the MSH segment. Use only when the price is not the same for all
facilities, that is, a null value indicates that this pricing is valid
for all facilities. No suggested values.",User,InM/FM,PRC-2,2.4,,
0465 -- Name/Address Representation,DOM: 465,Name_AddressRepresentation,"The domain of possible values for an indication of the
representation provided by the data item.",false,2.16.840.1.113883.18.295,name-addressRepresentation,"HL7-defined code system of concepts specifying an indication of the
representation provided by the data item. Used in HL7 Version 2.x
messaging in the PPN, XAD, XCN and XON segments.",Name/Address Representation Code System,http://terminology.hl7.org/CodeSystem/v2-0465,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.311,hl7VS-name-addressRepresentation,"Value Set of codes that specify an indication of the representation
provided by the data item.",Name/Address Representation Value Set,http://terminology.hl7.org/ValueSet/v2-0465,all codes,,,,,universal,0465,2.16.840.1.113883.12.465,Name/Address Representation,"HL7-defined table of codes specifying an indication of the
representation provided by the data item.",HL7,InM,"PPN.16, XAD.11, XCN.15, XON.9",2.4,,
0466 -- Ambulatory Payment Classification Code,DOM: 466,AmbulatoryPaymentClassificationCode,"The domain of possible values for the derived Ambulatory Payment
Classification (APC) code.",false,2.16.840.1.113883.18.296,ambulatoryPaymentClassification,"Code system of concepts specifying the derived Ambulatory Payment
Classification (APC) code. Used in HL7 Version 2.x messaging in the GP2
segment.",Ambulatory Payment Classification Code Code System,http://terminology.hl7.org/CodeSystem/v2-0466,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.312,hl7VS-ambulatoryPaymentClassificationCode,"Value Set of codes that specify the derived Ambulatory Payment
Classification (APC) code.",Ambulatory Payment Classification Code Value Set,http://terminology.hl7.org/ValueSet/v2-0466,all codes,,,,,unspecified,0466,2.16.840.1.113883.12.466,Ambulatory Payment Classification Code,"Table of codes specifying the derived Ambulatory Payment
Classification (APC) code.",User,FM,GP2-7,2.4,,
0467 -- Modifier Edit Code,DOM: 467,ModifierEditCode,"The domain of possible values that specify the edits of the
modifiers for each line or HCPCS/CPT.",true,,,,,,,,,,,,,,,,,,,,,,,,,0467,2.16.840.1.113883.12.467,Modifier Edit Code,"Table of codes that specify the edits of the modifiers for each line
or HCPCS/CPT. This field is defined by CMS or other regulatory agencies
in the US.",User,FM,GP1-8,2.4,,
0468 -- Payment Adjustment Code,DOM: 468,PaymentAdjustmentCode,"The domain of possible values for any payment adjustment due to
drugs or medical devices.",false,2.16.840.1.113883.18.297,paymentAdjustmentInformation,"Code system of concepts specifying any payment adjustment due to
drugs or medical devices. Used in HL7 Version 2.x messaging in the GP2
segment.",Payment Adjustment Code Code System,http://terminology.hl7.org/CodeSystem/v2-0468,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.313,hl7VS-paymentAdjustmentCode,"Value Set of codes that specify any payment adjustment due to drugs
or medical devices.",Payment Adjustment Code Value Set,http://terminology.hl7.org/ValueSet/v2-0468,all codes,,,,,unspecified,0468,2.16.840.1.113883.12.468,Payment Adjustment Code,"Table of codes specifying any payment adjustment due to drugs or
medical devices.",User,FM,GP2-9,2.4,,
0469 -- Packaging Status Code,DOM: 469,PackagingStatusCode,"The domain of possible values for the packaging status of the
service.",false,2.16.840.1.113883.18.298,packagingStatus,"Code system of concepts specifying the packaging status of the
service. Used in HL7 Version 2.x messaging in the GP2 segment.",Packaging Status Code Code System,http://terminology.hl7.org/CodeSystem/v2-0469,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.314,hl7VS-packagingStatusCode,"Value Set of codes that specify the packaging status of the
service.",Packaging Status Code Value Set,http://terminology.hl7.org/ValueSet/v2-0469,all codes,,,,,example,0469,2.16.840.1.113883.12.469,Packaging Status Code,Table of codes specifying the packaging status of the service.,User,FM,GP2-10,2.4,,
0470 -- Reimbursement Type Code,DOM: 470,ReimbursementTypeCode,"The domain of possible values for the fee schedule reimbursement
type applied to a line item.",false,2.16.840.1.113883.18.299,reimbursementType,"Code system of concepts specifying the fee schedule reimbursement
type applied to the line item. Used in HL7 Version 2.x messaging in the
GP2 segment.",Reimbursement Type Code Code System,http://terminology.hl7.org/CodeSystem/v2-0470,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.315,hl7VS-reimbursementTypeCode,"Value Set of codes that specify the fee schedule reimbursement type
applied to a line item.",Reimbursement Type Code Value Set,http://terminology.hl7.org/ValueSet/v2-0470,all codes,,,,,unspecified,0470,2.16.840.1.113883.12.470,Reimbursement Type Code,"Table of codes specifying the fee schedule reimbursement type
applied to the line item.",User,FM,GP2-12,2.4,,
0471 -- Query Name,DOM: 471,QueryName,The domain of possible values for the name of a query.,true,,,,,,,,,,,,,,,,,,,,,,,,,0471,2.16.840.1.113883.12.471,Query Name,"Table of codes specifying the name of the query. No suggested
values.",User,InM,"QPD-1, QAK-3, QID-2",2.4,,
0472 -- TQ Conjunction ID,DOM: 472,TqConjunctionId,"The domain of possible values for that a second timing specification
is to follow using the repeat delimiter.",false,2.16.840.1.113883.18.300,tqConjunctionId,"HL7-defined code system of concepts specifying that a second timing
specification is to follow using the repeat delimiter. Used in HL7
Version 2.x messaging in the TQ1 segment.",TQ Conjunction ID Code System,http://terminology.hl7.org/CodeSystem/v2-0472,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.316,hl7VS-tqConjunctionId,"Value Set of codes that specify that a second timing specification
is to follow using the repeat delimiter.",TQ Conjunction ID Value Set,http://terminology.hl7.org/ValueSet/v2-0472,all codes,,,,,universal,0472,2.16.840.1.113883.12.472,TQ Conjunction ID,"HL7-defined table of codes specifying that a second timing
specification is to follow using the repeat delimiter.",HL7,OO,TQ1-12,2.4,,
0473 -- Formulary Status,DOM: 473,ServiceFormularyStatus,"The domain of possible values for whether or not the service
(pharmaceutical) is in the formulary.",false,2.16.840.1.113883.18.301,formularyStatus,"Code system of concepts specifying whether or not the service
(pharmaceutical) is in the formulary. Used in HL7 Version 2.x messaging
in the OM7 segment.",Formulary Status Code System,http://terminology.hl7.org/CodeSystem/v2-0473,,,,,,01.11.2000,1,2.4,2.16.840.1.113883.21.317,hl7VS-formularyStatus,"Value Set of codes that specify whether or not the service
(pharmaceutical) is in the formulary.",Formulary Status Value Set,http://terminology.hl7.org/ValueSet/v2-0473,all codes,,,,,example,0473,2.16.840.1.113883.12.473,Formulary Status,"Table of codes specifying whether or not the service
(pharmaceutical) is in the formulary.",User,InM/OO,OM7-22,2.4,,
0474 -- Practitioner Organization Unit Type,DOM: 474,PractitionerOrganizationUnitType,"The domain of possible values for the classification of the
organization unit.",false,2.16.840.1.113883.18.302,organizationUnitType,"Code system of concepts specifying the classification of the
organization unit. Used in HL7 Version 2.x messaging in the ORG
segment.",Practitioner Organization Unit Type Code System,http://terminology.hl7.org/CodeSystem/v2-0474,,,,,,01.11.2000,2,2.4,2.16.840.1.113883.21.318,hl7VS-organizationUnitType-Org,"Value Set of codes that specify the classification of the
organization unit.",Practitioner Organization Unit Type Value Set,http://terminology.hl7.org/ValueSet/v2-0474,all codes,,,,,example,0474,2.16.840.1.113883.12.474,Practitioner Organization Unit Type,"Table of codes specifying the classification of the organization
unit.",User,PA,ORG-3,2.4,,
0475 -- Charge Type Reason,DOM: 475,ChargeTypeReason,"The domain of possible values for the choice of, and providing the
clinical rationale for, a selected charge type.",false,2.16.840.1.113883.18.303,chargeTypeReason,"Code system of concepts specifying the choice of, and providing the
clinical rationale for, a selected charge type. Used in HL7 Version 2.x
messaging in the BLG segment.",Charge Type Reason Code System,http://terminology.hl7.org/CodeSystem/v2-0475,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.319,hl7VS-chargeTypeReason,"Value Set of codes that specify the choice of, and providing the
clinical rationale for, a selected charge type.",Charge Type Reason Value Set,http://terminology.hl7.org/ValueSet/v2-0475,all codes,,,,,representative,0475,2.16.840.1.113883.12.475,Charge Type Reason,"Table of codes specifying the choice of, and providing the clinical
rationale for, a selected charge type.",User,OO,BLG-4,2.5,,
0476 -- Medically Necessary Duplicate Procedure Reason,DOM: 476,V2MedicallyNecessaryDuplicateProcedureReason,"The domain of possible values specifying the reason the procedure
code found in OBR-44 Procedure Code is a duplicate of one
ordered/charged previously for the same patient within the same date of
service and has been determined to be medically necessary.",true,,,,,,,,,,,,,,,,,,,,,,,,,0476,2.16.840.1.113883.12.476,Medically Necessary Duplicate Procedure Reason,"Table of codes specifying the reason the procedure code found in
OBR-44 Procedure Code is a duplicate of one ordered/charged previously
for the same patient within the same date of service and has been
determined to be medically necessary. No suggested values.",User,OO,"OBR-48, FT1-28",2.5,,
0477 -- Controlled Substance Schedule,DOM: 477,ControlledSubstanceSchedule,"The domain of possible values for the class of the drug or other
substance if its usage is controlled by legislation.",false,2.16.840.1.113883.18.304,controlledSubstanceSchedule,"Code system of concepts specifying the class of the drug or other
substance if its usage is controlled by legislation. In the USA, such
legislation includes the federal Controlled Substance Act (CSA) or a
State Uniform Controlled Substance Act. Other countries should create
their own versions of this table. Used in HL7 Version 2.x messaging in
the RXE segment. The name of the table is taken from the Pharmacy Law
Digest July 1988.",Controlled Substance Schedule Code System,http://terminology.hl7.org/CodeSystem/v2-0477,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.320,hl7VS-controlledSubstanceSchedule,"Value Set of codes that specify the class of the drug or other
substance if its usage is controlled by legislation.",Controlled Substance Schedule Value Set,http://terminology.hl7.org/ValueSet/v2-0477,all codes,,,,,representative,0477,2.16.840.1.113883.12.477,Controlled Substance Schedule,"Table of codes specifying the class of the drug or other substance
if its usage is controlled by legislation. In the USA, such legislation
includes the federal Controlled Substance Act (CSA) or a State Uniform
Controlled Substance Act. Values are drawn from the Pharmacy Law Digest
July 1988. Other countries should create their own versions of this
table. No suggested values.",User,OO,RXE-35,2.5,,
0478 -- Formulary Status,DOM: 478,SubstanceFormularyStatus,"The domain of possible values for whether or not the pharmaceutical
substance is part of the local formulary.",false,2.16.840.1.113883.18.305,formularyStatus,"HL7-defined code system of concepts specifying whether or not the
pharmaceutical substance is part of the local formulary. Used in HL7
Version 2.x messaging in the RXE segment.",Formulary Status Code System,http://terminology.hl7.org/CodeSystem/v2-0478,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.321,hl7VS-formularyStatus,"Value Set of codes that specify whether or not the pharmaceutical
substance is part of the local formulary.",Formulary Status Value Set,http://terminology.hl7.org/ValueSet/v2-0478,all codes,,,,,universal,0478,2.16.840.1.113883.12.478,Formulary Status,"HL7-defined table of codes specifying whether or not the
pharmaceutical substance is part of the local formulary.",HL7,OO,SPM-4,2.5,,
0479 -- Pharmaceutical Substances,DOM: 479,PharmaceuticalSubstances,"The domain of possible values for a medical substance or treatment
that has been ordered to be given to a patient, as encoded by a pharmacy
or treatment supplier.",true,,,,,,,,,,,,,,,,,,,,,,,,,0479,2.16.840.1.113883.12.479,Pharmaceutical Substances,"Table of codes specifying the medical substance or treatment that
has been ordered to be given to the patient, as encoded by the pharmacy
or treatment supplier. No suggested values.",User,OO,RXE-2,2.5,,
0480 -- Pharmacy Order Types,DOM: 480,PharmacyOrderTypes,"The domain of possible values for the general category of pharmacy
order which may be used to determine the processing path the order will
take.",false,2.16.840.1.113883.18.306,pharmacyOrderTypes,"HL7-defined code system of concepts specifying the general category
of pharmacy order which may be used to determine the processing path the
order will take. Used in HL7 Version 2.x messaging in the RXO, RXE, RXD,
RXG and RXA segments.",Pharmacy Order Types Code System,http://terminology.hl7.org/CodeSystem/v2-0480,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.322,hl7VS-pharmacyOrderTypes,"Value Set of codes that specify the general category of pharmacy
order which may be used to determine the processing path the order will
take.",Pharmacy Order Types Value Set,http://terminology.hl7.org/ValueSet/v2-0480,all codes,,,,,universal,0480,2.16.840.1.113883.12.480,Pharmacy Order Types,"HL7-defined table of codes specifying the general category of
pharmacy order which may be used to determine the processing path the
order will take.",HL7,OO,"RXO-27, RXE-44, RXD-32, RXG-26, RXA-26",2.5,,
0482 -- Order Type,DOM: 482,OrderType,"The domain of possible values for whether the order is to be
executed in an inpatient setting or an outpatient setting.",false,2.16.840.1.113883.18.307,orderType,"HL7-defined code system of concepts specifying whether the order is
to be executed in an inpatient setting or an outpatient setting. Used in
HL7 Version 2.x messaging in the ORC segment.",Order Type Code System,http://terminology.hl7.org/CodeSystem/v2-0482,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.323,hl7VS-orderType,"Value Set of codes that specify whether the order is to be executed
in an inpatient setting or an outpatient setting.",Order Type Value Set,http://terminology.hl7.org/ValueSet/v2-0482,all codes,,,,,universal,0482,2.16.840.1.113883.12.482,Order Type,"HL7-defined table of codes specifying whether the order is to be
executed in an inpatient setting or an outpatient setting.",HL7,OO,ORC-29,2.5,,
0483 -- Authorization Mode,DOM: 483,AuthorizationMode,"The domain of possible values of forms of authorization a recorder
may receive from the responsible practitioner to create or change an
order.",false,2.16.840.1.113883.18.308,authorizationMode,"HL7-defined code system of concepts of forms of authorization a
recorder may receive from the responsible practitioner to create or
change an order. Used in HL7 Version 2.x messaging in the ORC
segment.",Authorization Mode Code System,http://terminology.hl7.org/CodeSystem/v2-0483,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.324,hl7VS-authorizationMode,"Concepts of forms of authorization a recorder may receive from the
responsible practitioner to create or change an order. Used in Version 2
messaging for orders in the ORC segment.",Authorization Mode Value Set,http://terminology.hl7.org/ValueSet/v2-0483,all codes,,,,,universal,0483,2.16.840.1.113883.12.483,Authorization Mode,"HL7-defined table of codes of forms of authorization a recorder may
receive from the responsible practitioner to create or change an
order.",HL7,OO,ORC-30,2.5,,
0484 -- Dispense Type,DOM: 484,DispenseType,"The domain of possible values for the type of dispensing event that
occurred.",false,2.16.840.1.113883.18.309,dispenseType,"Code system of concepts specifying the type of dispensing event that
occurred. Used in HL7 Version 2.x messaging in the RXD segment.",Dispense Type Code System,http://terminology.hl7.org/CodeSystem/v2-0484,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.325,hl7VS-dispenseType,"Value Set of codes that specify the type of dispensing event that
occurred.",Dispense Type Value Set,http://terminology.hl7.org/ValueSet/v2-0484,all codes,,,,,representative,0484,2.16.840.1.113883.12.484,Dispense Type,"Table of codes specifying the type of dispensing event that
occurred.",User,OO,RXD-33,2.5,,
